"id";"name";"place";"type";"reserve"
"0";"312";"";"normal";"False"
"1";"105";"";"normal";"False"
"2";"106";"";"normal";"False"
"3";"107";"";"normal";"False"
"4";"108";"";"normal";"False"
"5";"109";"";"normal";"False"
"6";"203";"";"normal";"False"
"7";"205";"";"normal";"False"
"8";"206";"";"normal";"False"
"9";"207";"";"normal";"False"
"10";"209";"";"normal";"False"
"11";"210";"";"normal";"False"
"12";"211";"";"normal";"False"
"13";"213";"";"normal";"False"
"14";"217";"";"normal";"False"
"15";"218";"";"normal";"False"
"16";"305";"";"normal";"False"
"17";"306";"";"normal";"False"
"18";"307";"";"normal";"False"
"19";"308";"";"normal";"False"
"20";"310";"";"normal";"False"
"21";"311";"";"normal";"False"
"22";"303";"";"music";"False"
"23";"320";"";"music";"False"
"24";"304";"";"dance";"False"
"25";"E11";"";"art";"False"
"26";"E12";"";"art";"False"
"27";"U33";"";"normal";"True"
"28";"E05";"";"normal";"True"
"29";"E06";"";"normal";"True"
"30";"E09";"";"normal";"True"
"31";"E14";"";"normal";"True"
"32";"E17";"";"normal";"True"
